id,name,kana,weather,sky_name,emotion,emotion_type,meaning,chiikawa_line,hachiware_line,usagi_line,rarity,color,bgm,image
1,乾為天,けんいてん,晴れ,無雲高天,無限に澄み切った高天,創造,「湧く」無限湧き発生ッ！これって…最高じゃん…！,わっ…いっぱい出てきた…！,すごいねぇ〜！,ヤハッ！全部オレの！,SSR,gold,sunny_fest.mp3,sunny.jpg
2,坤為地,こんいち,曇り,厚雲,低く広がる受容の雲床,受容,草むしり検定の勉強中…コツコツやるしかないよね…フゥン,むずかしいよぉ…,大丈夫だよ！少しずつね,ン〜（寝）,N,sand,study_loop.mp3,cloudy.jpg
3,水雷屯,すいらいちゅん,雷,積乱雲,乱層に走る初動の閃光,混沌,うわあああッ！擬態型だッ！討伐しなきゃ…！,こわいッ！！,でもやるしかないよ！,ウラッ！！,R,electric,battle_danger.mp3,thunder.jpg
4,山水蒙,さんすいもう,曇り,白霧,視界を閉ざす未分化の白層,未熟,なにもわからないッ…でも聞くしかないよね…？,わかんないよぉ…,聞けば大丈夫！,ン？,R,mist,mist_memory.mp3,cloudy.jpg
5,水天需,すいてんじゅ,雨,雨待ち,降下直前で張りつめた湿層,待機,チャリメラ待機中…まだかな…,まだかなぁ…,いい匂いしてきたね,ズズッ（先に食う）,N,teal,waiting_rain.mp3,rain.jpg
6,天水訟,てんすいしょう,雷,雷雲,衝突する対流層,対立,えっそれ違くない！？,こわい空気だよぉ…,落ち着いて話そ？,ウラァ？,R,storm,thunder_voice.mp3,thunder.jpg
7,地水師,ちすいし,雨,重雲,重圧を背負う集団雲,責任,討伐隊出動…！,こわいけど行く…,みんなで行こう！,突撃ッ,N,gray,deep_rain.mp3,rain.jpg
8,水地比,すいちひ,雨,湿雲,寄り添って満ちる湿気,親和,みんなでチャリメラ…,あったかい…,一緒だと楽しいね,モグモグ,R,teal,rain_cosy.mp3,rain.jpg
9,風天小畜,ふうてんしょうちく,風,風晴れ,少しずつ整う風の上層,調整,今はためる…,ガマンする…,あとでいいことあるよ,ンーッ,R,leafgreen,snow_silence.mp3,wind.jpg
10,天沢履,てんたくり,風,朝陽,慎重に踏み出す朝の光,緊張,そーっと行く…,こわい…,ゆっくりね,ピョン,R,amber,soft_breeze.mp3,wind.jpg
11,地天泰,ちてんたい,晴れ,春晴,上下が調和した穏層空,安定,全部いい感じ…！,ほっとする…,平和だねぇ,ゴロゴロ,SR,gold,sun_step.mp3,sunny.jpg
12,天地否,てんちひ,曇り,閉塞曇天,分断され閉じた上下層,停滞,うまくいかない…,どうして…,今は耐えよう,ンン…?,SR,gray,dark_cloud.mp3,cloudy.jpg
13,天火同人,てんかどうじん,晴れ,夕焼け,人の心が通い合う夕空,共鳴,みんなで討伐！,うれしい…,協力しよう！,ヤハ！,SR,coral,friend_light.mp3,sunny.jpg
14,火天大有,かてんたいゆう,晴れ,極光,光に満ちあふれる全天,豊穣,報酬いっぱい！！,すごい…,やったね！,全部取る,SSR,gold,fire_glory.mp3,sunny.jpg
15,地山謙,ちざんけん,曇り,土霞,低く静かにたたずむ土霞,謙虚,自分なんて…,そんなことないよ,ン…,R,sand,mountain_echo.mp3,cloudy.jpg
16,雷地豫,らいちよ,雷,電雲,胸を弾ませる上昇気流,高揚,お祭りだッ！,楽しいッ！,いいねぇ！,ウラララ,SR,electric,festival_sky.mp3,thunder.jpg
17,沢雷随,たくらいずい,風,光雨,流れに身をゆだねる光雨,追従,ついてく…,大丈夫だよ！,ン〜,R,azure,follow_wind.mp3,wind.jpg
18,山風蠱,さんぷうこ,風,森霧,乱れをほどく森霧,修復,直さなきゃ…,たいへん…,やり直そう,バキッ,R,leafgreen,old_forest.mp3,wind.jpg
19,地沢臨,ちたくりん,曇り,朝光,希望が近づく朝光,期待,いっしょに…,いいよ！,手伝うね,ン,R,amber,water_smile.mp3,cloudy.jpg
20,風地観,ふうちかん,風,薄風,遠くまで見渡す静かな風層,観察,見てる…,なるほど…,様子見しよ,ジー,R,mist,far_sky.mp3,wind.jpg
21,火雷噬嗑,からいぜいこう,雷,火雷,強く裂いて進む火雷,突破,やるしかない！,いくよ！,噛み砕こう,ガブ,R,coral,impact_bolt.mp3,thunder.jpg
22,山火賁,さんかひ,晴れ,紅葉空,美しく染まる紅葉空,装飾,かわいくした…,いいね！,似合うよ,キラ,R,plum,beauty_flame.mp3,sunny.jpg
23,山地剥,さんちはく,雪,崩雲,崩れ落ちる冷たい雲壁,喪失,壊れてる…,やばい…,直せるかな,ボロッ,R,storm,falling_leaf.mp3,snow.jpg
24,地雷復,ちらいふく,虹,冬明け,光が戻る冬明けの空,再生,戻った…！,よかった！,やり直せるね,ピョン,SR,moon,rebirth_ray.mp3,rainbow.jpg
25,天雷无妄,てんらいむぼう,晴れ,蒼天,自然体で澄む蒼天,純粋,突っ込んじゃった…,でもいいよ！,正直だね,ドン,R,azure,open_gate.mp3,sunny.jpg
26,山天大畜,さんてんたいちく,曇り,山晴れ,力を蓄える山晴れ,蓄積,ためすぎ…,重い…,少しずつ使おう,ンー,R,leafgreen,stone_heart.mp3,cloudy.jpg
27,山雷頤,さんらいい,雨,木漏れ日,満たし育てる木漏れ日,滋養,おなかすいたッ！,食べよ！,チャリメラ！,ズズ,R,leafgreen,eating_rain.mp3,rain.jpg
28,沢風大過,たくふうたいか,風,暴風,限界に近い暴風層,過負荷,揺れるッ！,大丈夫！？,バランス取ろう,グラ,R,storm,big_wave.mp3,wind.jpg
29,坎為水,かんいすい,雨,深海雨,深く沈む暗い水気,不安,こわい…,落ちそう…,慎重にね,スー,R,teal,abyss_drop.mp3,rain.jpg
30,離為火,りいか,晴れ,真昼,全体を照らす真昼の熱,情熱,燃えてる！,すごい！,いい感じ！,ボワッ,SSR,coral,flame_heart.mp3,sunny.jpg
