no	hexagram	empathetic_short	tone_note	hachiware_english	empathetic_short	line_feel
1	乾為天	すごく大きな力なんだね。	強さをまっすぐ受け止める感じ。	This is the moment when a big flow begins.	Something big is starting...	勢いが出る始まり。
2	坤為地	そっと受けとめるんだね。	受け入れるやさしさを出す感じ。	Right now, support itself has value.	It’s okay to hold things gently.	受け止める力が大事な時。
3	水雷屯	はじまりって、むずかしいんだよね。	始動の大変さをやわらかく言う感じ。	The start may feel a little rough. But if you go slowly, it will take shape.	It’s a little hard at first... but it’ll form.	ちょっと大変だけど形になっていく時。
4	山水蒙	わからないのも、これからなんだね。	未熟さを否定しない感じ。	Things should start making more sense little by little. If something is unclear, it’s good to ask.	Little by little, it’ll make sense.	少しずつ見えてくる学びの時。
5	水天需	待つのも、大事なんだよね。	焦らず待つ姿勢を大事にする感じ。	There’s meaning in waiting right now. Don’t rush. Keep getting ready.	Waiting now might be the right thing.	焦らず待つことに意味がある時。
6	天水訟	ぶつかる時もあるよね。	対立を自然なこととして受け止める感じ。	Be careful with arguments right now. Staying calm first is the best move.	Let’s calm down first.	ぶつかる前に落ち着くのが大事な時。
7	地水師	まとめて進む力がいるんだね。	まとまりと統率をやさしく言う感じ。	Working as a team is important now. Things go smoother when everyone has a role.	It’s easier when we move together.	ひとりよりみんなで進む時。
8	水地比	そばにいるのが、いいんだね。	寄りそう関係を温かく言う感じ。	You may find a connection that feels safe. You don’t have to carry everything by yourself.	You don’t have to do it alone.	安心できるつながりを感じる時。
9	風天小畜	少しずつためるんだね。	大きく動かず蓄える感じ。	This is a time to get things in order little by little.	Let’s take it slowly.	少しずつ整っていく時。
10	天沢履	ようすを見ながら進むんだね。	慎重な歩みをやさしく言う感じ。	If you go step by step, you’ll be fine. Keeping an eye on your footing makes things safer.	One step at a time is good.	足もとに気をつけて進む時。
11	地天泰	のびのびできるんだね。	調和して安らぐ感じ。	A gentle tailwind is blowing. Take a moment to enjoy the good that is here now.	This feels peaceful.	穏やかに流れが通る時。
12	天地否	いまは通りにくいんだね。	停滞を静かに受け止める感じ。	Even if things feel stuck, it’s okay. Think of this as a prep period.	It’s okay to wait here.	流れが止まりやすい時。
13	天火同人	わかりあえると、うれしいよね。	つながりの喜びをやわらかく言う感じ。	Harmony with others may bring good luck. Think teamwork over going solo.	It’s better together.	人と気持ちが通じやすい時。
14	火天大有	たくさんあるの、すごいね。	豊かさを素直に喜ぶ感じ。	Today is a day to receive abundance. Don’t hold back. Accept it with thanks.	You can take it in.	豊かさを受け取れる時。
15	地山謙	へりくだるの、えらいんだよね。	控えめさを前向きにとらえる感じ。	A humble attitude may build trust today. Instead of standing out, try being the support.	Let’s stay calm and modest.	控えめさが信頼につながる時。
16	雷地豫	わくわくするんだね。	楽しみの気持ちをそのまま出す感じ。	A fun, exciting flow is coming your way. Planning something fun may boost your luck.	Something fun is near.	楽しみが近づいてくる時。
17	沢雷随	流れにのるのも、ありだよね。	従うことを柔らかく認める感じ。	It seems better to go with the flow right now. Things may go better if you don’t force it.	Let’s follow along.	流れに合わせる時。
18	山風蠱	なおしていく時なんだね。	立て直しの必要をやさしく言う感じ。	There’s something here that may need fixing. Starting with a small repair can help things move again.	A little fixing can help.	直したほうがよいものがある時。
19	地沢臨	近づいてくるんだね。	接近のあたたかさを出す感じ。	Good things are getting close now. It’s a good time to get ready.	Something good is coming closer.	いい流れが近づく時。
20	風地観	よく見てみるんだね。	見つめる姿勢を静かに伝える感じ。	This is a time to look closely and think. Try seeing the whole picture before moving.	Let’s look around first.	よく見て考える時。
21	火雷噬嗑	ちゃんと切り分ける時だね。	はっきりさせる必要をやわらかく言う感じ。	This is the time to get stuck things moving. The clearer you are, the easier it gets to move ahead.	Let’s clear the way.	じゃまなものを取りのぞく時。
22	山火賁	きれいに見せるのも大事だよね。	整える美しさをやさしく言う感じ。	Polishing the look may make a better impression. Gentle touches should be just right.	A little polish helps.	見た目を整えるとよい時。
23	山地剥	少しずつはがれていくんだね。	崩れを静かに受け止める感じ。	It may be better not to spread yourself too thin. For now, it helps to protect what matters.	Let’s keep what matters safe.	少しずつ削られていく時。
24	地雷復	また戻ってくるんだね。	回復や再開の気配をやさしく言う感じ。	It feels like you can start moving again. Starting over can still become real strength.	We can begin again.	やり直しが力になる時。
25	天雷无妄	むりなく、そのままでいいんだね。	自然さを大事にする感じ。	It seems best to go with what feels natural. Being yourself is the best way here.	Let it be natural.	自然体で進む時。
26	山天大畜	しっかりためてるんだね。	抑えて蓄える感じ。	This is a time to save your energy. If you stay steady now, you can move big later.	Let’s save our strength.	力をためて育てる時。
27	山雷頤	ちゃんと養うのが大事だね。	育てることを素直に言う感じ。	What you take in really matters. Resting properly matters too.	Take care of yourself.	養うものが大事な時。
28	沢風大過	ちょっと大きすぎるんだね。	負荷の大きさをやわらかく言う感じ。	You might be carrying a bit too much. It may help not to hold it all alone.	You don’t have to carry it all.	少し負荷が大きい時。
29	坎為水	深くて大変なんだね。	困難の深さを静かに受け止める感じ。	It’s better to move carefully right now. One step at a time is enough.	Let’s go carefully.	慎重さが必要な時。
30	離為火	あかるさがあるんだね。	はっきりした光を感じる感じ。	This is a time when your feelings may come across easily. Showing things brightly can help you ride the flow.	Let it shine a little.	光や思いが見えやすい時。
31	沢山咸	こころが通じるんだね。	惹かれ合う感じをやさしく言う感じ。	Someone or something you care about may come closer. Let the feeling stay natural and easy.	Something is drawing near.	心がひかれあう時。
32	雷風恒	ずっと続けるの、えらいんだよね。	続くことの強さを温かく言う感じ。	Things will stabilize if you keep going. Even small steps are fine as long as the pace stays steady.	Keep going steadily.	続ける力が育つ時。
33	天山遯	いったん下がるのも、ありだよね。	引くことを否定しない感じ。	It may be better to step back for now. You don’t have to push forward.	Let’s step back a little.	いったん引く時。
34	雷天大壮	ちから、すごくあるってコト？！	強さに素直に驚く感じ。	You’ve got some serious wind at your back. But how you use that power still matters.	This is strong energy.	勢いが強い時。
35	火地晋	前に進めるの、いいんだよね。	前進できる安心感を出す感じ。	This is a good time to move forward. You can go ahead with confidence.	We can move ahead.	前向きに進める時。
36	地火明夷	いまは目立たなくていいんだね。	光を抑える時期を受け止める感じ。	It may be safer not to stand out right now. Move quietly while keeping yourself safe.	Let’s stay low for now.	光をかくして守る時。
37	風火家人	みんなのこと、大事にしたいよね。	身近な人を大切にする感じ。	Your relationships close to home may matter more now. Gentle back-and-forth will work well.	Keep things gentle at home.	身近な人との調和が大事な時。
38	火沢睽	ちょっとずれちゃう時もあるよね。	食い違いを自然に受け止める感じ。	This may be a bit of a mismatch time. Understanding each other may take a little time.	We might not match yet.	すれちがいが起こりやすい時。
39	水山蹇	進みにくいけど、あせらなくていいんだね。	難しさを認めて焦らない感じ。	It’s probably better not to rush right now. Even a detour still counts as progress.	Let’s take the long way.	進みにくさがある時。
40	雷水解	すこし楽になるんだね。	ゆるみや解放をやさしく言う感じ。	Things may start feeling lighter now. The flow could change from here.	Things may loosen up.	重さがほどけていく時。
41	山沢損	ちょっとへらすの、いいんだよね。	減らすことを前向きにとらえる感じ。	Things may feel better if you cut back a little. Gentle sorting is what matters now.	Let’s trim a little.	へらしてととのう時。
42	風雷益	たすけあうと、ふえるんだね。	助け合いで増える感じを出す感じ。	The more you share, the easier things may move. Helping each other makes the path smoother.	Helping feels good now.	助け合いでふえる時。
43	沢天夬	もう、はっきり決める時ってコト？！	決断のタイミングをはっきり感じる感じ。	It may be time to make the call. It’s better not to stay vague.	Let’s decide clearly.	はっきり決める時。
44	天風姤	ふいの出会い、あるかもだよね。	予想外の出会いをやわらかく言う感じ。	Be a little careful with surprise meetings. Staying grounded will help.	A sudden meeting might come.	ふいの出会いがある時。
45	沢地萃	みんな、集まってくるんだね。	集まりの温かさを出す感じ。	This is a time when people may gather around you. It helps to value the connections you have.	People may gather here.	人が集まりやすい時。
46	地風升	すこしずつのぼるの、いいんだよね。	ゆっくり上がる安心感を出す感じ。	You are moving ahead, even if slowly. If you keep going, you’ll keep growing.	Let’s keep rising.	すこしずつのぼる時。
47	沢水困	くるしいけど、耐える時なんだね。	つらさを認めつつ耐える感じ。	This may be a tough moment. But you still have the strength to hang in there.	We can endure this.	くるしいけど耐える時。
48	水風井	ふかい力が、あるんだよね。	深く安定した力を感じる感じ。	Quiet strength may be useful now. Taking care of it makes it last.	A steady source helps.	ふかい力をたくわえる時。
49	沢火革	かわる時なんだよね。	変化を素直に受け止める感じ。	It looks like it’s time for a shift. Making a bold change could open things up.	It’s time to change.	変わる時。
50	火風鼎	ちゃんと育てていくんだね。	育てることを大事にする感じ。	This feels like a good time to build things carefully. The more carefully you do it, the better it gets.	Let’s build it well.	ととのえて育てる時。
51	震為雷	びっくりしたけど、動き出したってコト？！	驚きのあとに動きが出る感じ。	There may be a sudden surprise. But that could also be what changes the flow.	Whoa... something happened.	はっとする出来事の時。
52	艮為山	いまは止まるのが大事なんだね。	止まる意味を静かに受け取る感じ。	There’s meaning in staying still right now. Let’s calm down and sort things out slowly.	Let’s stay still for now.	とどまることに意味がある時。
53	風山漸	ゆっくりでいいんだよね。	少しずつ進む安心感を出す感じ。	Even if it’s slow, you are moving for real. Not rushing may lead to better results.	Slowly is okay.	ゆっくり育つ時。
54	雷沢帰妹	ちょっとずれてる時もあるよね。	合わなさを自然に認める感じ。	It may be best to watch and wait a little. Don’t force things to fit too hard.	Let’s wait and see.	少しちぐはぐな時。
55	雷火豊	すごく盛りあがるんだね。	盛り上がりの大きさをそのまま伝える感じ。	This is a really high-energy moment. The bigger you show it, the more the energy builds.	Things feel bright and big.	いちばん盛りあがる時。
56	火山旅	まだ旅の途中なんだよね。	途中であることを受け止める感じ。	Things may feel unsettled right now. But the place for you may show up as you keep moving.	We’re on the road.	たびの途中の時。
57	風為巽	そっと入りこんでいくんだね。	強く押さずに入る感じ。	Kind influence is spreading now. It may work better to let it spread naturally instead of pushing hard.	Let it spread gently.	すみずみまで届く時。
58	澤為兌	たのしく話せるといいよね。	会話のたのしさをやさしく言う感じ。	Fun energy may spread around you. Keeping a smile can bring even better flow.	A smile helps.	たのしくひかる時。
59	風水渙	ばらばらなの、ほどけていくんだね。	まとまりがゆるむ感じを静かに出す感じ。	Things may start to feel easier little by little. The more you let go, the more the flow comes back.	Let’s loosen up.	こわばりがほどける時。
60	水沢節	きまりごとが、大事なんだよね。	節度を前向きに受け止める感じ。	Right now, clear limits matter. Simple rules can be a real strength.	Let’s set a good boundary.	ちょうどいい境目の時。
61	風沢中孚	まっすぐな気持ち、伝わるんだね。	まっすぐさへの信頼を出す感じ。	Your feelings should come across clearly. Being honest matters most.	Trust what’s true.	心がつながる時。
62	雷山小過	ちょっとだけ気をつけるんだね。	少し慎重になる感じ。	Smaller moves may work better than big ones. A little tweak can make things work.	Small steps help.	小さな工夫が効く時。
63	水火既済	いったん、うまくおさまったんだね。	いったん整って落ち着く感じ。	Things are already looking very set. From here on, keeping it stable matters.	We made it... now keep it steady.	かんせいのあとを守る時。
64	火水未済	まだこれからなんだね。	未完成でも前を向く感じ。	Things are still in progress, but there’s definitely potential. No need to rush. Let’s get the flow in order first.	Almost there...	まだ途中だけど進んでいる時。
