id,name,emotion,emotion_type,weather,color
1,乾為天,まっすぐ空へ昇っていく感覚,創造,快晴,gold
2,坤為地,やさしく包まれて安心する感覚,受容,曇り,sand
3,水雷屯,始まりの混乱に飲まれる感覚,混沌,雷雨,electric
4,山水蒙,まだ何も見えない霧の感覚,未熟,朝霧,mist
5,水天需,静かに待ち続ける感覚,待機,雨待ち,teal
6,天水訟,気持ちがぶつかり合う感覚,対立,雷雲,storm
7,地水師,集団の重圧を背負う感覚,責任,重雲,gray
8,水地比,誰かと寄り添いたい感覚,親和,湿雲,teal
9,風天小畜,少しずつ整っていく感覚,調整,風晴れ,leafgreen
10,天沢履,慎重に一歩を踏み出す感覚,緊張,朝陽,amber
11,地天泰,世界が穏やかに流れる感覚,安定,春晴,gold
12,天地否,閉じ込められている感覚,停滞,閉塞曇天,gray
13,天火同人,人と心が通じる感覚,共鳴,夕焼け,coral
14,火天大有,光に満たされる感覚,豊穣,極光,gold
15,地山謙,静かに控える感覚,謙虚,土霞,sand
16,雷地豫,心が弾み始める感覚,高揚,electric
17,沢雷随,流れに身を任せる感覚,追従,光雨,azure
18,山風蠱,乱れを整え直す感覚,修復,森霧,leafgreen
19,地沢臨,希望が近づいてくる感覚,期待,朝光,amber
20,風地観,静かに見つめる感覚,観察,mist
21,火雷噬嗑,強く突破したい感覚,突破,火雷,coral
22,山火賁,美しく飾りたい感覚,装飾,紅葉空,plum
23,山地剥,崩れ落ちていく感覚,喪失,崩雲,storm
24,地雷復,また戻ってこれた感覚,再生,冬明け,moon
25,天雷无妄,自然体でいたい感覚,純粋,蒼天,azure
26,山天大畜,力を蓄えている感覚,蓄積,山晴れ,leafgreen
27,山雷頤,満たされたい感覚,滋養,木漏れ日,leafgreen
28,沢風大過,限界が近づく感覚,過負荷,暴風,storm
29,坎為水,深く沈み込む感覚,不安,深海雨,teal
30,離為火,激しく燃え上がる感覚,情熱,真昼,coral
31,沢山咸,心が惹かれ合う感覚,恋情,淡恋空,plum
32,雷風恒,変わらず続いていく感覚,継続,永風,leafgreen
33,天山遯,静かに距離を置きたい感覚,退避,夕闇,indigo
34,雷天大壮,勢いが爆発する感覚,躍動,雷光,electric
35,火地晋,前へ進みたくなる感覚,前進,朝焼け,coral
36,地火明夷,光を隠して耐える感覚,潜伏,夜炎,plum
37,風火家人,居場所を守りたい感覚,家庭,暖灯,amber
38,火沢睽,すれ違ってしまう感覚,分離,分裂空,purple
39,水山蹇,前へ進めない感覚,停滞,雪雨,snow
40,雷水解,重荷がほどける感覚,解放,雨上がり,azure
41,山沢損,何かを削り落とす感覚,削減,枯山,sand
42,風雷益,力が増していく感覚,成長,春嵐,leafgreen
43,沢天夬,決断を下す感覚,決意,閃光,electric
44,天風姤,突然出会ってしまう感覚,遭遇,突風,teal
45,沢地萃,人や感情が集まる感覚,集合,湿雲,mist
46,地風升,ゆっくり昇っていく感覚,上昇,朝霧上昇,moon
47,沢水困,心が塞がっていく感覚,困窮,深夜雨,indigo
48,水風井,内側から湧いてくる感覚,循環,湧水,teal
49,沢火革,大きく変わりたい感覚,革命,革命夕焼け,coral
50,火風鼎,世界を整えていく感覚,完成,聖火,gold
51,震為雷,衝撃が走る感覚,覚醒,爆雷,electric
52,艮為山,動きを止める感覚,静止,静山,gray
53,風山漸,少しずつ近づく感覚,漸進,渡り風,leafgreen
54,雷沢帰妹,不安定な恋に揺れる感覚,揺恋,春雷恋空,plum
55,雷火豊,エネルギーが満ちる感覚,充満,夏雷,coral
56,火山旅,居場所を探し続ける感覚,旅路,焚火夜,amber
57,巽為風,静かに染み込む感覚,浸透,透明風,teal
58,兌為沢,笑い合いたくなる感覚,歓喜,水光,azure
59,風水渙,境界が溶けていく感覚,拡散,霧散,mist
60,水沢節,自分を律する感覚,節制,冷泉,snow
61,風沢中孚,心の奥を信じる感覚,信頼,青風,azure
62,雷山小過,少しだけ行き過ぎる感覚,過敏,木霊雷,leafgreen
63,水火既済,完成した静けさの感覚,完成,蒼炎,purple
64,火水未済,まだ終われない感覚,未完,未明空,indigo

空の易をテーマに整えたい
