hexagram_id,line_no,line_name,line_name_kawaii,fortune_level,sky_phase,line_emotion,chiikawa_line_emotion,message,advice
1,1,初九,はじまりの風,吉,夜明け前,潜龍,まだこれから,今は静かな始まりの時,焦らず力を育てよう
1,2,九二,朝のひかり,吉,朝の光,出現,ちょっと見えてきた,自然体のまま進めば道は開く,背伸びをしなくて大丈夫
1,3,九三,ながれる雲,注意,流れる雲,努力,がんばりすぎかも,前に進む力はあるが疲れも出やすい,休息も成長の一部
1,4,九四,たかい空,吉,高空,飛躍準備,なんか変わりそう,景色が広がり始めている,新しい挑戦を恐れない
1,5,九五,てんこうの空,大吉,天光,飛龍,いちばんいい感じ,追い風と実力が重なる時,自信を持って進もう
1,6,上九,ゆうやけの空,注意,夕暮れ,亢龍,ちょっとやりすぎたかも,高く飛んだ後は足元も大切,謙虚さを忘れない
2,1,初六,めばえの土,吉,夜明け前,受容,ゆっくりでいい,まだ形にならなくても大丈夫,焦らず根を張ろう
2,2,六二,やさしい大地,大吉,朝の光,素直,そのままでいい,自然な姿に幸運が宿る,無理に飾らなくてよい
2,3,六三,ふかい土,中吉,流れる雲,蓄積,がんばってる途中,見えないところで力が育っている,結果を急がない
2,4,六四,しずかな畑,注意,高空,慎重,ちょっと様子見,今は動くより整える時,周囲をよく見よう
2,5,六五,みのりの野原,大吉,天光,成熟,いい感じに育った,積み重ねが実を結ぶ時,受け取ることを恐れない
2,6,上六,ゆきどけの大地,注意,夕暮れ,過剰受容,がまんしすぎたかも,抱え込みすぎると苦しくなる,自分も大切にしよう



24,1,初九,よあけのひかり,大吉,夜明け前,再生開始,ちょっと元気になった,夜明けはもう始まっている,小さな一歩を信じよう
24,2,六二,あさのかぜ,吉,朝の光,回復,ほっとした,無理をしなくても自然に良い流れが戻る,今は流れに身を任せよう
24,3,六三,ゆれるくも,中吉,流れる雲,揺らぎ,まだ不安かも,前に進んだり戻ったりしながら整っていく,焦らなくて大丈夫
24,4,六四,そらのきざし,吉,高空,転機,なんか変わりそう,景色が少しずつ明るくなっている,新しい可能性を受け入れよう
24,5,六五,あさひいっぱい,大吉,天光,再生完成,すごくいい感じ,回復の力が満ちている,自信を持って進もう
24,6,上六,ゆうやけのふりかえり,注意,夕暮れ,執着,もどりすぎたかも,過去にこだわると再び迷いやすい,未来へ目を向けよう

64,1,初六,かすみのむこう,注意,夜明け前,未完成,まだわからない,先は見えなくても物語は続いている,急いで答えを出さなくていい
64,2,九二,あさつゆのひかり,吉,朝の光,希望,ちょっと見えてきた,小さな光が未来を照らし始める,目の前の一歩を大切にしよう
64,3,六三,ゆれるかすみ,注意,流れる雲,迷い,どうしようかな,進みたい気持ちと不安が交差する,焦らず進路を整えよう
64,4,九四,ひらけるそら,吉,高空,前進,なんかいけそう,状況が少しずつ動き始める,勇気を出して踏み出そう
64,5,六五,ひかりのさき,大吉,天光,可能性開花,いい感じになってきた,未来への扉が開き始めている,自分の力を信じよう
64,6,上九,つづくたびじ,吉,夕暮れ,継続,まだ続くんだね,完成よりも次の旅が待っている,新しい物語を楽しもう
