card_id	card_name	orientation	internal_id	category	weather	element	emotion	meaning	role_main	role_support	role_extra	closing_line	tone_tag	note	ちいかわセリフ	ハチワレセリフ	うさぎセリフ	鎧さんセリフ	くりまんじゅうセリフ	シーサーセリフ	ラッコセリフ	モモンガセリフ	怪異セリフ	全員セリフ
1	愚者	upright	fool	大アルカナ	虹晴れ	風	希望	未来を信じて新しい一歩を踏み出す	よし、いってみるか…！	その一歩、えらいよ。		こわくても、始めたら始まる。	start, hopeful	始まりの勢い	⋯ンショ（やってみよッ！）			ちいかわが新しい一歩を踏み出そうとしている						
1	愚者	reversed	fool	大アルカナ	虹晴れ	風	希望	未来が見えないのに希望を捨てきれない	えっ、どこ行くの…？	ふらふらしすぎじゃない？		まずは足もと、見よっか。	drift, caution	方向が定まらない	わァ…ぁ…			ちいかわがためらっている、大丈夫だ						
2	魔術師	upright	magician	大アルカナ	快晴	火	挑戦	自分にできることを使って道を切り開く	できること、ある気がする。	道具はもうそろってるよ！		あとは動かすだけだね。	action, hopeful	着手のカード		作っちゃうよ！ってコト！								
2	魔術師	reversed	magician	大アルカナ	快晴	火	挑戦	まだ力不足で準備段階にいる	うーん、まとまらない…	準備だけで終わってない？		小さく試すのがいいかも。	stalled, doubt	力の使い方に迷い		飽きた…ってコト？								
3	女教皇	upright	high_priestess	大アルカナ	月夜	水	葛藤	前向きに考えるが慎重すぎて動けない	まだ、だまって見ていたい。			急がなくても、見えてくる。	quiet, insight	静観						わかる気がするシーサー！				
3	女教皇	reversed	high_priestess	大アルカナ	月夜	水	葛藤	実力不足や不安で行動できない	なんか、もやもやする…	考えすぎて固まってない？		いったん休むのもありだよ。	foggy, hesitation	思考の停滞						感情に流されすぎシーサー！				
4	女帝	upright	empress	大アルカナ	春晴れ	地	執着	大切なものを守り育てる	うん、育ってきてる感じ。	あったかくて、いい流れだね。		ゆっくりでも、実っていくよ。	nurture, abundance	豊かさと育成					みんなで食べよう！					
4	女帝	reversed	empress	大アルカナ	春晴れ	地	執着	終わったことを手放せず過去に縛られる	あれ、なんか足りない…	与えすぎかも、しれない。		少し自分もいたわろう。	emptiness, overgiving	満たしすぎの偏り					まだ足りない！ハァー！					
5	皇帝	upright	emperor	大アルカナ	高気圧	地	権威	大きな組織や権力と向き合う	ちゃんと守って、進める。	土台はもうできてるよ。		ここで決めれば、ぶれにくい。	authority, structure	安定と統率				教えるぞ！俺がルールだ！						
5	皇帝	reversed	emperor	大アルカナ	高気圧	地	権威	権力の後ろ盾を失い孤立する	固めすぎて、苦しい…	少しゆるめても大丈夫。		手放すところは手放そう。	rigid, control	支配の過剰				規律を守れ！逆らうな！						
6	法王	upright	hierophant	大アルカナ	薄曇り	地	秩序	社会のルールを守り正しい道を進む	ちゃんと学びながら進みたい。	わかる、基本はだいじだよ。		先にある型に乗るのも手だね。	tradition, guidance	学びと指針				その姿勢が大事だ！						
6	法王	reversed	hierophant	大アルカナ	薄曇り	地	秩序	既存のルールから外れる	なんか、窮屈かも…	決まりごとにしばられすぎ？		合う形だけ残そう。	restriction, dogma	形式の重さ				古いやり方に固執するな！						
7	恋人	upright	lovers	大アルカナ	虹	風	愛情	互いに納得して新しい関係へ進む	どっちも大事で、まよう…！	ちゃんと選べばだいじょうぶ。		気持ちが向くほうでいいよ。	choice, bond	選択と関係		お揃いだよ！ってコト！								
7	恋人	reversed	lovers	大アルカナ	虹	風	愛情	受け入れるかどうかを自分で決める	うわ、ややこしい…	すれちがってない？		まず話してみるのが先かも。	conflict, mismatch	意思疎通の乱れ		心がふたつある…ってコト？								
8	戦車	upright	chariot	大アルカナ	強風	火	前進	結果を求めて一直線に進む	よし、前に出る！	その勢い、いいね！		まっすぐ進めば大丈夫。	drive, momentum	前進			イイヤァーハァ！（一直線！）	うさぎが勢いよく進んでいる、いいぞ！						
8	戦車	reversed	chariot	大アルカナ	強風	火	前進	欲望を理解した上で慎重に進む	あれ、止まらない…？	急ぎすぎてぶつかりそう。		いったん整えてからでもいいよ。	rush, loss	暴走気味			止まらない！暴走だ！	うさぎが暴走している、落ち着け						
9	力	upright	strength	大アルカナ	夕焼け	火	忍耐	大きな力や権威と調和して進む	こわいけど、やれる。	そのやさしさ、強いよ。		落ち着いていけば大丈夫。	courage, patience	内なる強さ				よくできました！鍛えろ！						
9	力	reversed	strength	大アルカナ	夕焼け	火	忍耐	逆らいたい気持ちを抱えながら耐える	むりかも…ってなる。	がんばりすぎてない？		力を抜くのも大事だよ。	strain, weakness	消耗				力みすぎだ！制御しろ！						
10	隠者	upright	hermit	大アルカナ	霧夜	地	探求	距離感を保ちながら相手を見極める	ひとりで考えたい。			静かに見れば見えてくる。	solitude, search	内省							静かに考える…			
10	隠者	reversed	hermit	大アルカナ	霧夜	地	探求	関係を進めるか様子を見る	なんだか、こもりすぎた…	考えすぎて迷子じゃん。		外の声も少し聞いてみよう。	isolated, stuck	閉じこもり							ひとりでいい…			
11	運命の輪	upright	wheel_of_fortune	大アルカナ	流星雨	風	変化	成長できる環境へ飛び込む	きた、流れが変わる！	今なら乗れそう！		回りはじめたなら進もう。	change, chance	転機		なんとかなるって！								
